DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA
03/01/2021;09/01/2021;SUL;RIO GRANDE DO SUL;ALVORADA;ETANOL HIDRATADO;3;R$/l;4,492;0,167;4,299;4,589;-;0,037
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;AMERICANA;ETANOL HIDRATADO;14;R$/l;3,018;0,094;2,829;3,099;-;0,031
03/01/2021;09/01/2021;CENTRO OESTE;GOIAS;ANAPOLIS;ETANOL HIDRATADO;3;R$/l;3,103;0,13;2,979;3,239;-;0,042
03/01/2021;09/01/2021;SUDESTE;RIO DE JANEIRO;ANGRA DOS REIS;ETANOL HIDRATADO;6;R$/l;4,358;0,192;3,999;4,499;-;0,044
03/01/2021;09/01/2021;NORDESTE;SERGIPE;ARACAJU;ETANOL HIDRATADO;21;R$/l;3,59;0,068;3,47;3,699;-;0,019
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;ARACATUBA;ETANOL HIDRATADO;25;R$/l;2,907;0,113;2,729;3,099;-;0,039
03/01/2021;09/01/2021;NORDESTE;ALAGOAS;ARAPIRACA;ETANOL HIDRATADO;11;R$/l;3,522;0,181;3,299;3,899;-;0,051
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;ASSIS;ETANOL HIDRATADO;23;R$/l;3,095;0,248;2,729;3,399;-;0,08
03/01/2021;09/01/2021;SUL;RIO GRANDE DO SUL;BAGE;ETANOL HIDRATADO;5;R$/l;5,086;0,21;4,788;5,295;-;0,041
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;BARRETOS;ETANOL HIDRATADO;15;R$/l;2,93;0,113;2,749;3,199;-;0,039
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;BARUERI;ETANOL HIDRATADO;18;R$/l;3,022;0,139;2,879;3,299;-;0,046
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;BAURU;ETANOL HIDRATADO;27;R$/l;2,927;0,091;2,81;3,14;-;0,031
03/01/2021;09/01/2021;NORDESTE;PARAIBA;BAYEUX;ETANOL HIDRATADO;6;R$/l;3,453;0,088;3,389;3,58;-;0,025
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;BEBEDOURO;ETANOL HIDRATADO;6;R$/l;3;0,063;2,959;3,122;-;0,021
03/01/2021;09/01/2021;NORTE;PARA;BELEM;ETANOL HIDRATADO;17;R$/l;4,045;0,072;3,89;4,149;-;0,018
03/01/2021;09/01/2021;SUDESTE;RIO DE JANEIRO;BELFORD ROXO;ETANOL HIDRATADO;11;R$/l;3,98;0,182;3,699;4,296;-;0,046
03/01/2021;09/01/2021;SUDESTE;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;42;R$/l;3,2;0,043;3,149;3,379;-;0,013
03/01/2021;09/01/2021;SUL;SANTA CATARINA;BIGUACU;ETANOL HIDRATADO;9;R$/l;3,776;0,162;3,469;3,899;-;0,043
03/01/2021;09/01/2021;SUDESTE;SAO PAULO;BIRIGUI;ETANOL HIDRATADO;14;R$/l;2,947;0,066;2,859;3,099;-;0,022
